unixtime,lat,lon,crs,spd,mmsi,shipname
1403708967,47.81138333,-122.4465067,34.24,2.83,123456,TIE-FIGHTER
1403708969,41.64860333,-70.274815,27.17,-1,123457,SLAVE I
1403708970,48.35601667,-124.3430833,11.5,1.98,123459,SLAVE I
1403708971,48.33706667,-122.9723217,23.77,1.4,123460,MILLENIUM FALCON
1403708976,47.60639,-122.4830083,8.02,1.29,123458,X-WING
1403708976,48.3557,-124.3420833,11.5,1.98,123459,SLAVE I
1403708983,48.33662,-122.9734067,23.81,1.4,123460,MILLENIUM FALCON
1403708986,47.606515,-122.4821467,7.68,1.31,123458,X-WING
1403708986,47.81386833,-122.44769,34.21,2.82,123456,TIE-FIGHTER
1403708989,48.35521667,-124.3406,11.5,1.98,123459,SLAVE I
1403708990,47.814365,-122.4479233,34.22,2.82,123456,TIE-FIGHTER
1403708996,48.336205,-122.9744067,23.81,1.4,123460,MILLENIUM FALCON
1403708997,48.35521667,-124.3406,11.5,1.98,123459,SLAVE I
1403709007,47.814365,-122.4479233,34.22,2.82,123456,TIE-FIGHTER
1403709007,48.3545,-124.3383667,11.5,1.98,123459,SLAVE I
1403709007,47.814365,-122.4479233,34.22,2.82,123456,TIE-FIGHTER
1403709008,47.60688,-122.480205,7.22,1.36,123458,X-WING
1403709007,48.33578333,-122.9754017,23.76,1.4,123460,MILLENIUM FALCON
1403709011,47.81685667,-122.44911,34.23,2.83,123456,TIE-FIGHTER
1403709014,47.60700333,-122.479685,7.11,1.38,123458,X-WING
1403709013,48.35426667,-124.3376333,11.5,1.98,123459,SLAVE I
1403709014,47.81735333,-122.449345,34.23,2.83,123456,TIE-FIGHTER
1403709020,47.60713667,-122.47915,6.92,1.41,123458,X-WING
1403709027,47.81885,-122.4500583,34.22,2.83,123456,TIE-FIGHTER
1403709031,48.33497333,-122.9773067,23.75,1.41,123460,MILLENIUM FALCON
1403709032,47.60742,-122.4780517,6.84,1.44,123458,X-WING
1403709036,48.35331667,-124.33465,11.5,1.98,123459,SLAVE I
1403709037,48.33469333,-122.9779717,23.76,1.41,123460,MILLENIUM FALCON
1403709048,47.82146833,-122.451315,34.2,2.84,123456,TIE-FIGHTER
1403709049,48.35288333,-124.3332833,11.5,1.98,123459,SLAVE I
1403709054,48.35263333,-124.3325333,11.5,1.98,123459,SLAVE I
1403709056,48.33405333,-122.9794617,23.73,1.41,123460,MILLENIUM FALCON
1403709056,47.82247,-122.4517983,34.2,2.84,123456,TIE-FIGHTER
1403709066,47.82372667,-122.452385,34.24,2.85,123456,TIE-FIGHTER
1403709068,47.60851167,-122.47466,6.04,1.61,123458,X-WING
1403709067,48.33362167,-122.98045,23.7,1.41,123460,MILLENIUM FALCON
1403709073,48.33344167,-122.9808617,23.69,1.41,123460,MILLENIUM FALCON
1403709074,47.60873833,-122.474085,5.94,1.61,123458,X-WING
1403709079,47.608975,-122.4735067,5.84,1.65,123458,X-WING
1403709079,48.35161667,-124.3293167,11.5,1.98,123459,SLAVE I
1403709079,48.33322667,-122.98136,23.69,1.41,123460,MILLENIUM FALCON
1403709084,47.82598167,-122.4534317,34.25,2.84,123456,TIE-FIGHTER
1403709087,47.82623167,-122.45355,34.25,2.84,123456,TIE-FIGHTER
1403709092,47.60946333,-122.47234,5.8,1.68,123458,X-WING
1403709097,48.35098333,-124.3273333,11.5,1.98,123459,SLAVE I
1403709097,48.33258333,-122.982845,23.7,1.41,123460,MILLENIUM FALCON
1403709108,47.829105,-122.4549083,34.23,2.84,123456,TIE-FIGHTER
1403709109,48.33215667,-122.9838383,23.71,1.42,123460,MILLENIUM FALCON
1403709115,48.35025,-124.3251,11.5,1.98,123459,SLAVE I
1403709118,47.83035167,-122.455495,34.24,2.83,123456,TIE-FIGHTER
1403709121,48.33172667,-122.9848283,23.71,1.42,123460,MILLENIUM FALCON
1403709128,47.61105833,-122.4688283,5.7,1.73,123458,X-WING
1403709128,48.33150667,-122.9853233,23.69,1.42,123460,MILLENIUM FALCON
1403709133,48.34951667,-124.3227333,11.5,1.98,123459,SLAVE I
1403709133,48.33132667,-122.985735,23.67,1.42,123460,MILLENIUM FALCON
1403709134,47.61131,-122.4682217,5.94,1.73,123458,X-WING
1403709135,47.83235,-122.456435,34.23,2.83,123456,TIE-FIGHTER
1403709135,47.61138833,-122.4680167,6.04,1.72,123458,X-WING
1403709139,48.34926667,-124.3219833,11.5,1.98,123459,SLAVE I
1403709139,48.33111,-122.98623,23.67,1.42,123460,MILLENIUM FALCON
1403709142,47.61163333,-122.467285,6.47,1.7,123458,X-WING
1403709146,47.611725,-122.466965,6.69,1.68,123458,X-WING
1403709148,47.83409667,-122.4572733,34.21,2.83,123456,TIE-FIGHTER
1403709154,47.83485333,-122.457625,34.24,2.84,123456,TIE-FIGHTER
1403709162,47.83585167,-122.4581067,34.21,2.84,123456,TIE-FIGHTER
1403709163,48.33021,-122.9883067,23.68,1.43,123460,MILLENIUM FALCON
1403709166,47.61216667,-122.4647483,7.85,1.7,123458,X-WING
1403709168,47.83660833,-122.458465,34.22,2.85,123456,TIE-FIGHTER
1403709169,48.32999,-122.9888017,23.66,1.43,123460,MILLENIUM FALCON
1403709175,48.34783333,-124.3175167,11.5,1.98,123459,SLAVE I
1403709176,47.61228,-122.4635933,8.39,1.7,123458,X-WING
1403709181,48.32958333,-122.9897133,23.63,1.43,123460,MILLENIUM FALCON
1403709186,47.83885833,-122.4595517,34.2,2.84,123456,TIE-FIGHTER
1403709187,48.32928833,-122.9903767,23.63,1.43,123460,MILLENIUM FALCON
1403709189,47.61228,-122.4635933,8.39,1.7,123458,X-WING
1403709194,47.61238333,-122.4614717,8.63,1.73,123458,X-WING
1403709196,47.612395,-122.461235,8.53,1.73,123458,X-WING
1403709199,48.34686667,-124.3145333,11.5,1.98,123459,SLAVE I
1403709199,47.61241833,-122.4607717,8.59,1.73,123458,X-WING
1403709206,47.61245167,-122.46007,8.63,1.72,123458,X-WING
1403709205,48.34666667,-124.3139,11.5,1.98,123459,SLAVE I
